"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","2,976.61","3,004.26","3,006.02","2,975.86","-","-0.62%"
"Jul 18, 2019","2,995.11","2,978.87","2,998.28","2,973.09","-","0.36%"
"Jul 17, 2019","2,984.42","3,005.10","3,005.26","2,984.25","-","-0.65%"
"Jul 16, 2019","3,004.04","3,012.13","3,015.02","3,001.15","-","-0.34%"
"Jul 15, 2019","3,014.30","3,017.80","3,017.80","3,008.77","-","0.02%"
"Jul 12, 2019","3,013.77","3,003.36","3,013.92","3,001.87","-","0.46%"
"Jul 11, 2019","2,999.91","2,999.62","3,002.33","2,988.80","-","0.23%"
"Jul 10, 2019","2,993.07","2,989.30","3,002.98","2,984.62","-","0.45%"
"Jul 09, 2019","2,979.63","2,965.52","2,981.90","2,963.44","-","0.12%"
"Jul 08, 2019","2,975.95","2,979.77","2,980.76","2,970.09","-","-0.48%"
"Jul 05, 2019","2,990.41","2,984.25","2,994.03","2,967.97","-","-0.18%"
"Jul 03, 2019","2,995.82","2,978.08","2,995.84","2,977.96","-","0.77%"
"Jul 02, 2019","2,973.01","2,964.66","2,973.21","2,955.92","-","0.29%"
"Jul 01, 2019","2,964.33","2,971.41","2,977.93","2,952.22","-","0.77%"
"Jun 28, 2019","2,941.76","2,932.94","2,943.98","2,929.05","-","0.58%"
"Jun 27, 2019","2,924.92","2,919.66","2,929.30","2,918.57","-","0.38%"
"Jun 26, 2019","2,913.78","2,926.07","2,932.59","2,912.99","-","-0.12%"
"Jun 25, 2019","2,917.38","2,945.78","2,946.52","2,916.01","-","-0.95%"
"Jun 24, 2019","2,945.35","2,951.42","2,954.92","2,944.05","-","-0.17%"